adc_data,i_data,q_data
0x84b08510L,2123.00,2129.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x85208520L,2130.00,2130.00,
0x85208520L,2130.00,2130.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x85108530L,2129.00,2131.00,
0x85108530L,2129.00,2131.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84d08500L,2125.00,2128.00,
0x84d084e0L,2125.00,2126.00,
0x84d084e0L,2125.00,2126.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x85208500L,2130.00,2128.00,
0x85208500L,2130.00,2128.00,
0x85208500L,2130.00,2128.00,
0x85208500L,2130.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x85008520L,2128.00,2130.00,
0x85008520L,2128.00,2130.00,
0x84f08510L,2127.00,2129.00,
0x84f08510L,2127.00,2129.00,
0x85208530L,2130.00,2131.00,
0x85208530L,2130.00,2131.00,
0x84f084e0L,2127.00,2126.00,
0x84f084e0L,2127.00,2126.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08530L,2126.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x85008560L,2128.00,2134.00,
0x85008560L,2128.00,2134.00,
0x84e08540L,2126.00,2132.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84f08520L,2127.00,2130.00,
0x84f08500L,2127.00,2128.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x851084f0L,2129.00,2127.00,
0x851084f0L,2129.00,2127.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x85008540L,2128.00,2132.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84e08530L,2126.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x84b08520L,2123.00,2130.00,
0x84b08520L,2123.00,2130.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84f08540L,2127.00,2132.00,
0x84f08540L,2127.00,2132.00,
0x84b08520L,2123.00,2130.00,
0x84b08520L,2123.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84e08530L,2126.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x84f084f0L,2127.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x84d08540L,2125.00,2132.00,
0x84d08540L,2125.00,2132.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x85008520L,2128.00,2130.00,
0x84f08540L,2127.00,2132.00,
0x84f08540L,2127.00,2132.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84c08500L,2124.00,2128.00,
0x84c08500L,2124.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84c08510L,2124.00,2129.00,
0x84c08510L,2124.00,2129.00,
0x84b08500L,2123.00,2128.00,
0x84b08500L,2123.00,2128.00,
0x84c084f0L,2124.00,2127.00,
0x84c084f0L,2124.00,2127.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x850084e0L,2128.00,2126.00,
0x850084e0L,2128.00,2126.00,
0x84e084d0L,2126.00,2125.00,
0x84e084d0L,2126.00,2125.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84c08540L,2124.00,2132.00,
0x84c08540L,2124.00,2132.00,
0x84c08520L,2124.00,2130.00,
0x84c08520L,2124.00,2130.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84e08540L,2126.00,2132.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84b084f0L,2123.00,2127.00,
0x84b084f0L,2123.00,2127.00,
0x84c08510L,2124.00,2129.00,
0x84c08510L,2124.00,2129.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84e084e0L,2126.00,2126.00,
0x84e084e0L,2126.00,2126.00,
0x85008500L,2128.00,2128.00,
0x85008500L,2128.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x85108500L,2129.00,2128.00,
0x85108500L,2129.00,2128.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84f08510L,2127.00,2129.00,
0x84f08510L,2127.00,2129.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x85008520L,2128.00,2130.00,
0x85008520L,2128.00,2130.00,
0x84c08500L,2124.00,2128.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84b084f0L,2123.00,2127.00,
0x84b084f0L,2123.00,2127.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x851084f0L,2129.00,2127.00,
0x851084f0L,2129.00,2127.00,
0x85008540L,2128.00,2132.00,
0x85008540L,2128.00,2132.00,
0x85008520L,2128.00,2130.00,
0x85008520L,2128.00,2130.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84f084f0L,2127.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84f084f0L,2127.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x84f08510L,2127.00,2129.00,
0x84f08510L,2127.00,2129.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84f08520L,2127.00,2130.00,
0x85008520L,2128.00,2130.00,
0x85008520L,2128.00,2130.00,
0x84e08530L,2126.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84b08500L,2123.00,2128.00,
0x84b08500L,2123.00,2128.00,
0x84c084e0L,2124.00,2126.00,
0x84c084e0L,2124.00,2126.00,
0x84c084f0L,2124.00,2127.00,
0x84c084f0L,2124.00,2127.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84f084d0L,2127.00,2125.00,
0x84f084d0L,2127.00,2125.00,
0x85108500L,2129.00,2128.00,
0x85108500L,2129.00,2128.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e084e0L,2126.00,2126.00,
0x84e084e0L,2126.00,2126.00,
0x84f08510L,2127.00,2129.00,
0x84e084d0L,2126.00,2125.00,
0x84e084d0L,2126.00,2125.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x851084e0L,2129.00,2126.00,
0x851084e0L,2129.00,2126.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x85008500L,2128.00,2128.00,
0x85008500L,2128.00,2128.00,
0x84f084d0L,2127.00,2125.00,
0x84f084d0L,2127.00,2125.00,
0x84f084d0L,2127.00,2125.00,
0x84f084d0L,2127.00,2125.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x850084d0L,2128.00,2125.00,
0x850084d0L,2128.00,2125.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84e08530L,2126.00,2131.00,
0x85208520L,2130.00,2130.00,
0x85208520L,2130.00,2130.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84d084e0L,2125.00,2126.00,
0x84d084e0L,2125.00,2126.00,
0x84f084f0L,2127.00,2127.00,
0x84f084f0L,2127.00,2127.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x85008500L,2128.00,2128.00,
0x85008500L,2128.00,2128.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84b08520L,2123.00,2130.00,
0x84b08520L,2123.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x85108540L,2129.00,2132.00,
0x84f08520L,2127.00,2130.00,
0x85008540L,2128.00,2132.00,
0x85008540L,2128.00,2132.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x84f084f0L,2127.00,2127.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84f084f0L,2127.00,2127.00,
0x84e08510L,2126.00,2129.00,
0x851084f0L,2129.00,2127.00,
0x851084f0L,2129.00,2127.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x85208520L,2130.00,2130.00,
0x85208520L,2130.00,2130.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84f08530L,2127.00,2131.00,
0x84f08530L,2127.00,2131.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x85108520L,2129.00,2130.00,
0x85108520L,2129.00,2130.00,
0x85208510L,2130.00,2129.00,
0x85208510L,2130.00,2129.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84b08500L,2123.00,2128.00,
0x84b08500L,2123.00,2128.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084d0L,2126.00,2125.00,
0x84e084d0L,2126.00,2125.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84b084e0L,2123.00,2126.00,
0x84b084e0L,2123.00,2126.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x85008510L,2128.00,2129.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84c084f0L,2124.00,2127.00,
0x84c084f0L,2124.00,2127.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84f08500L,2127.00,2128.00,
0x84f08500L,2127.00,2128.00,
0x85008540L,2128.00,2132.00,
0x85008540L,2128.00,2132.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84e084f0L,2126.00,2127.00,
0x84c084e0L,2124.00,2126.00,
0x84c084e0L,2124.00,2126.00,
0x84b084f0L,2123.00,2127.00,
0x84d084d0L,2125.00,2125.00,
0x84d084d0L,2125.00,2125.00,
0x84d08500L,2125.00,2128.00,
0x84d08500L,2125.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84e08510L,2126.00,2129.00,
0x84e08510L,2126.00,2129.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84f08510L,2127.00,2129.00,
0x84f08510L,2127.00,2129.00,
0x84e084d0L,2126.00,2125.00,
0x84e084d0L,2126.00,2125.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x85008500L,2128.00,2128.00,
0x85008500L,2128.00,2128.00,
0x84f08520L,2127.00,2130.00,
0x84f08520L,2127.00,2130.00,
0x84e08540L,2126.00,2132.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08540L,2126.00,2132.00,
0x84e08540L,2126.00,2132.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x850084d0L,2128.00,2125.00,
0x850084d0L,2128.00,2125.00,
0x85108500L,2129.00,2128.00,
0x85108500L,2129.00,2128.00,
0x84f08530L,2127.00,2131.00,
0x84f08530L,2127.00,2131.00,
0x84d08510L,2125.00,2129.00,
0x84d08510L,2125.00,2129.00,
0x84d08530L,2125.00,2131.00,
0x84d08530L,2125.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x84e08530L,2126.00,2131.00,
0x84c08540L,2124.00,2132.00,
0x84f08520L,2127.00,2130.00,
0x85008510L,2128.00,2129.00,
0x85008510L,2128.00,2129.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84c08500L,2124.00,2128.00,
0x84c08500L,2124.00,2128.00,
0x84c08510L,2124.00,2129.00,
0x84d08520L,2125.00,2130.00,
0x84d08520L,2125.00,2130.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84e08520L,2126.00,2130.00,
0x84e08520L,2126.00,2130.00,
0x84e08500L,2126.00,2128.00,
0x84e08500L,2126.00,2128.00,
0x84f084d0L,2127.00,2125.00,
0x84f084d0L,2127.00,2125.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84c08540L,2124.00,2132.00,
0x84c08540L,2124.00,2132.00,
0x84b08510L,2123.00,2129.00,
0x84b08510L,2123.00,2129.00,
0x84b08520L,2123.00,2130.00,
0x84b08520L,2123.00,2130.00,
0x84d084e0L,2125.00,2126.00,
0x84d084e0L,2125.00,2126.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x84d084f0L,2125.00,2127.00,
0x850084f0L,2128.00,2127.00,
0x850084f0L,2128.00,2127.00,
